,Unnamed: 0,text,embeddings,distances
134,134,24 May – Researchers from the Chinese Academy of Sciences report tuning of the Casimir effect using magnetic fields.,"[-0.00946334  0.00841554  0.0142978  ...  0.00769933  0.0226006
 -0.02848949]",0.24715590520221986
101,101,"15 April – The world's first commercial-scale factory producing sustainable high-protein food from air, microbes and solar energy, Solein, launches.","[ 0.00274144 -0.01912111 -0.0118522  ... -0.00099644 -0.00217838
 -0.00378548]",0.24794311100458455
113,113,"3 May – China launches its Chang'e 6 probe, a robotic sample-return mission to the far side of the Moon.","[ 0.01766277 -0.01529826 -0.00730673 ...  0.02443329  0.01259135
 -0.01236524]",0.24816196962445425
149,149,25 June – China's Chang'e 6 lunar exploration mission successfully returns to Earth after taking rock and soil samples from the far side of the Moon. The orbiter proceeded on a mission to carry out observations at Sun-Earth Lagrange point L2 after dropping the sample off to Earth.,"[ 0.02828413 -0.00329175  0.00835788 ...  0.00929317  0.0141686
 -0.01721989]",0.24847907459077379
92,92,"3 April – NASA selects three companies – Intuitive Machines, Lunar Outpost and Venturi Astrolab – to develop its Lunar Terrain Vehicle, for use in crewed Artemis missions from 2030 onwards.","[ 0.00388354 -0.01435265 -0.00961319 ...  0.00030104  0.00350425
 -0.01245284]",0.2484812994972473
62,62,21 February – Researchers use artificial intelligence to forecast plasma instabilities in fusion reactors up to 300 milliseconds in advance.,"[-2.11954601e-02  1.07833592e-03 -5.95362904e-03 ...  1.97441783e-03
  1.18918597e-05  2.47899117e-03]",0.2488066452554304
36,36,25 January – The Laser Interferometer Space Antenna (LISA) is given the go-ahead by the European Space Agency (ESA). It will launch in 2035.,"[ 0.00194417  0.0023864  -0.00329215 ...  0.00496279  0.01426926
 -0.01094108]",0.24881324408053196
192,192,23 September – Researchers demonstrate an asteroid deflection method using an X-ray pulse using a miniaturized mock asteroid for up to ~4 km diameter asteroids for which DART-like impacts are thought to be insufficient.,"[-0.0149802   0.01129012  0.00183817 ...  0.01003261 -0.01175739
 -0.02066993]",0.2490514922517173
140,140,4 June – The China National Space Administration's Chang'e 6 spacecraft lifts off from the surface of the far side of the Moon carrying samples of lunar soil and rocks back to Earth.,"[ 0.02779293 -0.00892786  0.00680497 ...  0.01591517  0.01416997
 -0.01523792]",0.24916190335399413
73,73,"4 March – Astronomers report that the surface of Europa, a moon of the planet Jupiter, may have much less oxygen than previously inferred, suggesting that the moon has a less hospitable environment for the existence of lifeforms than may have been considered earlier.","[ 0.02051166 -0.01467712  0.0026612  ...  0.01352318  0.00282327
 -0.00614896]",0.24931570642247347
189,189,"18 September – The largest known pair of astrophysical jets is discovered within the radio galaxy Porphyrion, extending 23 million light-years from end to end. This surpasses Alcyoneus, the previous record holder at 16 million light-years.","[-0.01143524 -0.00629636 -0.01026444 ...  0.00266756 -0.00717779
 -0.02616999]",0.2497370145303357
11,11,"10 January – Scientists report the extinction of Gigantopithecus blacki, the largest primate to ever inhabit the Earth, that lived between 2 million and 350,000 years ago, was largely due to the inability of the ape to adapt to a diet better suited to a significantly changed environment.","[-0.00269094 -0.01998528  0.01385475 ...  0.01323784 -0.01188835
 -0.02531897]",0.24988972526589126
99,99,"12 April – Scientists describe how tardigrades are protecting themselves from large radiation exposure and damage, which is quickly repaired, using the Dsup protein.","[ 0.00236624  0.00839167 -0.00263959 ... -0.00599692 -0.01518684
 -0.00755317]",0.24990004566186186
110,110,"29 April – Hazard research is published: a study assesses the global extent of PFAS contamination of surface waters and groundwaters, finding many samples exceed PFAS drinking water guidance values and a ""need to better understand the use, fate and impacts of anthropogenic chemicals"" (8 April), a study estimates how much inorganic carbon soils store globally and projects that they would emit 23 billion tons over the next 30 years in a business-as-usual scenario (11 April), a study of satellite data suggests because of city subsidence and sea-level rise, by 2120, 22 to 26% of China's coastal lands will be below sea level, hosting 9 to 11% of the coastal population (18 April), a study suggests vitamin D deficiency may be a determinant of cancer immunity and immunotherapy success (25 April), and researchers report H5N1 bird flu was found in raw milk (29 April).","[ 0.01483191 -0.00316407 -0.00469475 ... -0.02077276 -0.02298206
 -0.00486651]",0.2500980589177274
248,248,27 December – List of years in science,"[ 0.00179792  0.00340587  0.00132554 ... -0.00659124 -0.00434214
 -0.03191476]",0.25050223855846765
